,Sr. No. ,Sample No. ,Location,Red (R.),Green (G),Blue (B),White (W),Conc. (%),RT-PCR
333,49.0,,Aundh Botanical garden 11.25 am,0.1157,0.1562,0.1949,0.1569,1.3672,Positive
334,,,Aundh Botanical garden 11.25 am,0.1474,0.1628,0.1924,0.1364,1.4219,Positive
335,,,Aundh Botanical garden 11.25 am,0.1383,0.1591,0.192,0.1103,1.3906,Positive
336,,,Aundh Botanical garden 11.25 am,0.1436,0.1577,0.191,0.125,1.3828,Positive
337,,,Aundh Botanical garden 11.25 am,0.1132,0.1649,0.1942,0.1324,1.4453,Positive
338,,,Aundh Botanical garden 11.25 am,0.13163999999999998,0.16014,0.19290000000000002,0.13219999999999998,1.40156,Positive
339,50.0,,Aundh 11.55 am,0.0515,0.0735,0.0895,0.0807,0.6495,Negative
340,,,Aundh 11.55 am,0.0473,0.0738,0.09,0.0647,0.6455,Negative
341,,,Aundh 11.55 am,0.0525,0.0704,0.0898,0.0607,0.6172,Negative
342,,,Aundh 11.55 am,0.0553,0.0745,0.0962,0.0559,0.6523,Negative
343,,,Aundh 11.55 am,0.0556,0.0678,0.0698,0.0477,0.5938,Negative
344,,,Aundh 11.55 am,0.05244,0.072,0.08706,0.061939999999999995,0.6316599999999999,Negative
345,51.0,,"Balewadi, Baner 12.15",0.1737,0.2207,0.2613,0.1718,1.9297,Negative
346,,,"Balewadi, Baner 12.16",0.1619,0.2205,0.2682,0.1761,1.9297,Negative
347,,,"Balewadi, Baner 12.17",0.1628,0.2203,0.2654,0.1743,1.9297,Negative
348,,,"Balewadi, Baner 12.18",0.1678,0.2177,0.2723,0.172,1.9063,Negative
349,,,"Balewadi, Baner 12.19",0.1693,0.2242,0.265,0.1743,1.9609,Negative
350,,,"Balewadi, Baner 12.19",0.1671,0.22068,0.26643999999999995,0.1737,1.93126,Negative
351,52.0,,"Mahalunge, Baner",0.0577,0.1117,0.1457,0.0964,0.9766,Negative
352,,,"Mahalunge, Baner",0.0967,0.1119,0.1441,0.0972,0.9809,Negative
353,,,"Mahalunge, Baner",0.0913,0.1134,0.145,0.0976,0.9921,Negative
354,,,"Mahalunge, Baner",0.0893,0.1137,0.1444,0.0975,0.9961,Negative
355,,,"Mahalunge, Baner",0.0836,0.112,0.1409,0.093,0.9805,Negative
356,,,"Mahalunge, Baner",0.08371999999999999,0.11254,0.14401999999999998,0.09634000000000001,0.9852400000000001,Negative
